Date,Last Price,Volume
12/2/2019,3114.75,1331642
11/29/2019,3143.75,902189
11/27/2019,3153.75,928792
11/26/2019,3143.75,1068011
11/25/2019,3132.75,947831
11/22/2019,3111.5,995416
11/21/2019,3104,1434552
11/20/2019,3109,1693828
11/19/2019,3118.5,1195901
11/18/2019,3121.75,1034214
11/15/2019,3118.25,1251167
11/14/2019,3097,1105353
11/13/2019,3095.5,1251057
11/12/2019,3092,1101243
11/11/2019,3087.5,844597
11/8/2019,3090.5,1080147
11/7/2019,3086,1353330
11/6/2019,3075.5,1076833
11/5/2019,3072,1124217
11/4/2019,3075.75,1179714
11/1/2019,3063.25,1279508
10/31/2019,3035.75,1766536
10/30/2019,3047.75,1179153
10/29/2019,3035.75,1040149
10/28/2019,3036.25,1041931
10/25/2019,3020.25,1098391
10/24/2019,3004.25,1061278
10/23/2019,3005.75,1055958
10/22/2019,2994.5,1125601
10/21/2019,3006.5,886557
10/18/2019,2988.25,1335276
10/17/2019,2998,1121748
10/16/2019,2991.5,1148118
10/15/2019,2997.75,1181207
10/14/2019,2965.5,833670
10/11/2019,2970.75,1743810
10/10/2019,2941,1577766
10/9/2019,2919,1305749
10/8/2019,2892.5,1865325
10/7/2019,2937.5,1266872
10/4/2019,2951,1497975
10/3/2019,2911.75,2037970
10/2/2019,2880.5,2126769
10/1/2019,2937.75,1601531
9/30/2019,2978.5,1155807
9/27/2019,2963.75,1673557
9/26/2019,2980.5,1351351
9/25/2019,2986.25,1501723
9/24/2019,2970.25,1936806
9/23/2019,2997,1044218
9/20/2019,3013.61,37786
9/19/2019,3006,372849
9/18/2019,3006.25,637344
9/17/2019,3005.5,1096388
9/16/2019,2999,1197095
9/13/2019,3006.5,1275710
9/12/2019,3011.75,1745651
9/11/2019,3002,1423833
9/10/2019,2978.5,1493346
9/9/2019,2978.25,1199935
9/6/2019,2980.75,1182287
9/5/2019,2972,1669999
9/4/2019,2938.5,1252834
9/3/2019,2906,1999829
8/30/2019,2924.75,1642516
8/29/2019,2926.75,1489670
8/28/2019,2889.75,1489617
8/27/2019,2865.5,1528362
8/26/2019,2883.25,1850231
8/23/2019,2855.5,2864662
8/22/2019,2922.25,1470309
8/21/2019,2929.25,1180368
8/20/2019,2898.25,1475214
8/19/2019,2923.75,1285798
8/16/2019,2891.5,1631175
8/15/2019,2848.5,2495340
8/14/2019,2840.75,2786308
8/13/2019,2932,2184012
8/12/2019,2880.25,1710875
8/9/2019,2919.75,2026304
8/8/2019,2940,1800667
8/7/2019,2880.5,2680813
8/6/2019,2876,2601037
8/5/2019,2830,3072122
8/2/2019,2932.5,2447014
8/1/2019,2952,2736926
7/31/2019,2982.25,1951108
7/30/2019,3012.25,1182050
7/29/2019,3021.75,823572
7/26/2019,3024.5,961015
7/25/2019,3006.5,1333721
7/24/2019,3021.5,1068766
7/23/2019,3008,1056909
7/22/2019,2989,1098399
7/19/2019,2977,1482373
7/18/2019,2997.5,1345038
7/17/2019,2985,1039457
7/16/2019,3007,939814
7/15/2019,3017.25,829936
7/12/2019,3015.5,969956
7/11/2019,3004,1181911
7/10/2019,2997.5,1422362
7/9/2019,2982,956650
7/8/2019,2978.5,1016611
7/5/2019,2990.5,1339312
7/3/2019,3000.25,805258
7/2/2019,2979.5,1119495
7/1/2019,2967.75,1457722
6/28/2019,2944.25,1322759
6/27/2019,2931,1060248
6/26/2019,2918,1232682
6/25/2019,2922,1417191
6/24/2019,2952,910166
6/21/2019,2953.9,47851
6/20/2019,2955.75,473310
6/19/2019,2929,638949
6/18/2019,2921.75,1073047
6/17/2019,2892,1157402
6/14/2019,2890.5,1257750
6/13/2019,2894.5,1437516
6/12/2019,2881,1205406
6/11/2019,2887,1397028
6/10/2019,2889.25,1416247
6/7/2019,2875,1687328
6/6/2019,2845.75,1566762
6/5/2019,2827.75,1743779
6/4/2019,2805,1836910
6/3/2019,2749.5,2297243
5/31/2019,2752.5,2211587
5/30/2019,2790.5,1282029
5/29/2019,2780,2087458
5/28/2019,2805,1633540
5/24/2019,2831.75,1201967
5/23/2019,2819.5,2013518
5/22/2019,2857.5,1258767
5/21/2019,2866,1303238
5/20/2019,2844,1659139
5/17/2019,2862,1926351
5/16/2019,2878.5,1687728
5/15/2019,2855,1753507
5/14/2019,2839.25,1797995
5/13/2019,2807,2790074
5/10/2019,2887,2848095
5/9/2019,2872.75,2705412
5/8/2019,2887.25,2043325
5/7/2019,2890.75,2813033
5/6/2019,2932.5,2037157
5/3/2019,2947.5,1295606
5/2/2019,2917.5,1813837
5/1/2019,2923,1502201
4/30/2019,2948.5,1491268
4/29/2019,2943,944846
4/26/2019,2941.5,1246988
4/25/2019,2926.25,1376185
4/24/2019,2930.75,1125250
4/23/2019,2938,1193738
4/22/2019,2912.5,706067
4/18/2019,2910,1335778
4/17/2019,2900.5,1382265
4/16/2019,2911.5,1124491
4/15/2019,2909.5,955662
4/12/2019,2912.5,1227893
4/11/2019,2891.75,968649
4/10/2019,2894.5,972310
4/9/2019,2882.5,1182395
4/8/2019,2898.25,978909
4/5/2019,2896,1221029
4/4/2019,2882.75,1045539
4/3/2019,2879.75,1240848
4/2/2019,2867,859942
4/1/2019,2870.5,1256933
3/29/2019,2837.75,1491974
3/28/2019,2821,1185882
3/27/2019,2810.5,1726746
3/26/2019,2823,1461068
3/25/2019,2807,1801326
3/22/2019,2810.75,2254842
3/21/2019,2862.5,1657949
3/20/2019,2827,1693207
3/19/2019,2836.5,1497577
3/18/2019,2840.5,1036540
3/15/2019,2813.25,42982
3/14/2019,2807.25,312374
3/13/2019,2814.5,565289
3/12/2019,2792,935159
3/11/2019,2784,1270035
3/8/2019,2747,1359646
3/7/2019,2750,1890655
3/6/2019,2771.5,1471244
3/5/2019,2791.5,1186343
3/4/2019,2791.5,1743542
3/1/2019,2805,1225267
2/28/2019,2784.75,1300296
2/27/2019,2795,1117837
2/26/2019,2791.5,1171497
2/25/2019,2797,1214030
2/22/2019,2791.25,1145894
2/21/2019,2774.25,1389548
2/20/2019,2787,1241391
2/19/2019,2778.75,1156206
2/15/2019,2777,1457027
2/14/2019,2743.5,1643963
2/13/2019,2749.5,1181694
2/12/2019,2744.75,1264777
2/11/2019,2708.25,1088954
2/8/2019,2706.25,1518741
2/7/2019,2704,1876609
2/6/2019,2729.5,1144424
2/5/2019,2731,1202186
2/4/2019,2721.25,995667
2/1/2019,2704.25,1411322
1/31/2019,2704.5,1831477
1/30/2019,2682.5,1508478
1/29/2019,2640.25,1216534
1/28/2019,2642,1368593
1/25/2019,2663.5,1333954
1/24/2019,2634,1247996
1/23/2019,2638.25,1549383
1/22/2019,2632,1844470
1/18/2019,2671.5,1685814
1/17/2019,2635.25,1479772
1/16/2019,2613.25,1274031
1/15/2019,2605.5,1494266
1/14/2019,2580.5,1164904
1/11/2019,2595,1152538
1/10/2019,2594,1485966
1/9/2019,2582.5,1545615
1/8/2019,2572.5,1622345
1/7/2019,2550.5,1588817
1/4/2019,2531.25,2274892
1/3/2019,2447.75,2204484
1/2/2019,2511,1915336
12/31/2018,2505.25,1347509
12/28/2018,2486,1943894
12/27/2018,2495,2199475
12/26/2018,2471,1926447
12/24/2018,2341.75,1239632
12/21/2018,2467.75,65700
12/20/2018,2485.75,562742
12/19/2018,2503.25,788551
12/18/2018,2535.75,1178916
12/17/2018,2552.5,1552030
12/14/2018,2602,1592105
12/13/2018,2645.5,2007047
12/12/2018,2652.5,1850606
12/11/2018,2641.25,2233029
12/10/2018,2643,2528426
12/7/2018,2636,2508165
12/6/2018,2691,3245782
12/5/2018,2701.75,184485
12/4/2018,2701.75,2617933
12/3/2018,2790.75,1842048
11/30/2018,2758.25,1418344
11/29/2018,2744.25,1468632
11/28/2018,2741.5,1805261
11/27/2018,2683.5,1466895
11/26/2018,2670,1337376
11/23/2018,2629.5,827480
11/21/2018,2649,1394368
11/20/2018,2640,2498318
11/19/2018,2696.25,1941981
11/16/2018,2743,1816490
11/15/2018,2734.5,2351759
11/14/2018,2698.5,2236488
11/13/2018,2727.5,2076087
11/12/2018,2727.75,1884247
11/9/2018,2779,1662766
11/8/2018,2808.75,1291176
11/7/2018,2816.5,1853834
11/6/2018,2759,1239444
11/5/2018,2739.5,1277939
11/2/2018,2724.25,2302607
11/1/2018,2738,1779694
10/31/2018,2711,2373596
10/30/2018,2685.25,2445536
10/29/2018,2643.5,2720697
10/26/2018,2669.5,3410150
10/25/2018,2688.25,2479997
10/24/2018,2664.25,2783685
10/23/2018,2746.25,2780303
10/22/2018,2756.5,1621903
10/19/2018,2767.5,1950864
10/18/2018,2772.25,2171262
10/17/2018,2816.25,1887126
10/16/2018,2817.75,1730133
10/15/2018,2749,1714171
10/12/2018,2768.5,2713901
10/11/2018,2745.5,3929532
10/10/2018,2781,3371169
10/9/2018,2888.25,1733476
10/8/2018,2893.75,1720589
10/5/2018,2894,2245369
10/4/2018,2907.75,2127092
10/3/2018,2931.5,1225248
10/2/2018,2928.5,1116193
10/1/2018,2930,1211647
9/28/2018,2919,1360541
9/27/2018,2920,1177203
9/26/2018,2911.5,1274595
9/25/2018,2921.25,1014128
9/24/2018,2925.5,1111755
9/21/2018,2943,38480
9/20/2018,2934,349971
9/19/2018,2910,548972
9/18/2018,2906.5,960957
9/17/2018,2891,1135552
9/14/2018,2906.25,1171968
9/13/2018,2905.25,1612993
9/12/2018,2888.5,1548446
9/11/2018,2889.75,1245406
9/10/2018,2880.25,1220814
9/7/2018,2874.75,1647915
9/6/2018,2879,1596947
9/5/2018,2888.25,1568197
9/4/2018,2898.25,1578514
8/31/2018,2902,1241706
8/30/2018,2902,1297025
8/29/2018,2914.75,1070631
8/28/2018,2899.25,886424
8/27/2018,2898.5,927736
8/24/2018,2876.75,989679
8/23/2018,2858,1033934
8/22/2018,2861.25,973986
8/21/2018,2861.75,1029636
8/20/2018,2858.5,787038
8/17/2018,2852.25,1165395
8/16/2018,2844.75,1244434
8/15/2018,2821.25,1812133
8/14/2018,2841,1006447
8/13/2018,2825.5,1261360
8/10/2018,2836.75,1360261
8/9/2018,2853.75,686671
8/8/2018,2855.25,719280
8/7/2018,2859.75,760607
8/6/2018,2850,772342
8/3/2018,2839.5,873248
8/2/2018,2828.5,1209107
8/1/2018,2810.75,1072528
7/31/2018,2817,1304639
7/30/2018,2803.25,1152426
7/27/2018,2817.5,1455009
7/26/2018,2842.5,1010052
7/25/2018,2841.25,1271726
7/24/2018,2821,1317981
7/23/2018,2812,802099
7/20/2018,2800.75,979263
7/19/2018,2805.25,1056723
7/18/2018,2816,834134
7/17/2018,2811.25,1021295
7/16/2018,2796.5,776104
7/13/2018,2803.25,901791
7/12/2018,2798.5,1098628
7/11/2018,2774,1331211
7/10/2018,2796.75,903305
7/9/2018,2787.5,942480
7/6/2018,2763,1229285
7/5/2018,2738.5,1140362
7/3/2018,2713.25,827748
7/2/2018,2727.25,1184392
6/29/2018,2721.5,1557893
6/28/2018,2719.5,1660683
6/27/2018,2705,2069866
6/26/2018,2728.5,1370552
6/25/2018,2722.25,2149593
6/22/2018,2759.5,1073623
6/21/2018,2752.5,1457299
6/20/2018,2772,1034737
6/19/2018,2766.25,1583103
6/18/2018,2779.75,970070
6/15/2018,2776.5,45298
6/14/2018,2783.25,357360
6/13/2018,2774.25,585659
6/12/2018,2784,945655
6/11/2018,2783,1179868
6/8/2018,2778.75,1291932
6/7/2018,2772.25,1744712
6/6/2018,2772.25,1296474
6/5/2018,2751.5,972203
6/4/2018,2745.5,826178
6/1/2018,2733.75,1164165
5/31/2018,2705.5,1616744
5/30/2018,2724.5,1387545
5/29/2018,2692.25,1919923
5/25/2018,2718.25,965082
5/24/2018,2727.5,1226076
5/23/2018,2730.75,1264269
5/22/2018,2726,859759
5/21/2018,2733,911242
5/18/2018,2713,985659
5/17/2018,2718.75,1043897
5/16/2018,2723,1033300
5/15/2018,2709,1486522
5/14/2018,2731,924062
5/11/2018,2729.5,1027300
5/10/2018,2718.75,1149345
5/9/2018,2696,1219066
5/8/2018,2670.25,1242956
5/7/2018,2670,1106056
5/4/2018,2663,1627248
5/3/2018,2631.75,2085915
5/2/2018,2627.5,1368993
5/1/2018,2652.25,1294588
4/30/2018,2647,1278496
4/27/2018,2671.5,1120149
4/26/2018,2674.5,1253088
4/25/2018,2644.5,1852769
4/24/2018,2635.25,2299749
4/23/2018,2671.25,1205027
4/20/2018,2671.5,1575350
4/19/2018,2693,1530003
4/18/2018,2709.75,1027616
4/17/2018,2706.5,1217732
4/16/2018,2681.75,1186422
4/13/2018,2657.25,1647627
4/12/2018,2664,1252235
4/11/2018,2641,1584027
4/10/2018,2655,1943849
4/9/2018,2619,1713782
4/6/2018,2605.75,2512853
4/5/2018,2661.75,1588771
4/4/2018,2647,2175430
4/3/2018,2613.25,2158961
4/2/2018,2575,2324918
3/29/2018,2643,1960617
3/28/2018,2607.5,2730613
3/27/2018,2615.75,2367868
3/26/2018,2659.5,2209338
3/23/2018,2597.75,2780887
3/22/2018,2643.25,2492434
3/21/2018,2718.25,1392373
3/20/2018,2723.5,1085927
3/19/2018,2722.75,1947147
3/16/2018,2752.75,46761
3/15/2018,2751.5,347174
3/14/2018,2749.75,749192
3/13/2018,2768.5,1201698
3/12/2018,2784,1210960
3/9/2018,2784,1497678
3/8/2018,2739.25,1477276
3/7/2018,2723.25,1806489
3/6/2018,2724,1419036
3/5/2018,2718.5,1732111
3/2/2018,2690.25,2119741
3/1/2018,2678.25,2762765
2/28/2018,2714.5,1775839
2/27/2018,2747.5,1682036
2/26/2018,2784.5,1207718
2/23/2018,2748.75,1203636
2/22/2018,2711.5,1577667
2/21/2018,2698.75,1573160
2/20/2018,2714,1408201
2/16/2018,2735,1680889
2/15/2018,2734,1624113
2/14/2018,2697,2020201
2/13/2018,2661.75,1430550
2/12/2018,2655.25,2104312
2/9/2018,2619,3803424
2/8/2018,2593.5,3070823
2/7/2018,2668.25,2426803
2/6/2018,2694.25,4714937
2/5/2018,2607.75,3907322
2/2/2018,2756.75,2439327
2/1/2018,2822.5,1605424
1/31/2018,2825.75,1769945
1/30/2018,2824.5,2060109
1/29/2018,2853.5,1357169
1/26/2018,2874.5,1205037
1/25/2018,2841.25,1375128
1/24/2018,2841,1767404
1/23/2018,2839.5,1201503
1/22/2018,2835.25,1102799
1/19/2018,2811,1296816
1/18/2018,2796.25,1220803
1/17/2018,2803.75,1445807
1/16/2018,2782.5,1930469
1/12/2018,2788.75,1300191
1/11/2018,2769.5,1008773
1/10/2018,2750.5,1261868
1/9/2018,2752.25,1120793
1/8/2018,2746.75,875936
1/5/2018,2742.5,1094202
1/4/2018,2723.75,1139096
