Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
12/2/2019 12:00,3114.25,-3.75,3118,3121.25,3111.75,21614,151396
12/2/2019 11:00,3118,4,3113.75,3119,3110.25,31593,216579
12/2/2019 10:00,3114,-12,3126,3129.25,3111,68397,479666
12/2/2019 9:00,3126,-20.25,3146.25,3147.25,3125.25,33238,229054
12/2/2019 8:00,3146.25,-2.25,3148.5,3148.75,3143.5,5409,32560
12/2/2019 7:00,3148.5,-0.25,3148.75,3149.25,3146.5,3419,21113
12/2/2019 6:00,3148.75,-5.5,3154.5,3154.75,3146.25,5976,35778
12/2/2019 5:00,3154.25,-0.5,3154.5,3156.75,3154.25,2652,13888
12/2/2019 4:00,3154.75,-1.75,3156.5,3157,3153.75,3465,15623
12/2/2019 3:00,3156.5,5.25,3151,3158,3150.25,6413,28623
12/2/2019 2:00,3151.25,-0.75,3152,3152.25,3150.5,2458,10630
12/2/2019 1:00,3152,-1.25,3153,3153,3151.75,976,4312
12/2/2019 0:00,3153.25,0,3153,3153.5,3152.25,1411,5619
12/1/2019 23:00,3153.25,-1.25,3154.5,3154.5,3153,867,3843
12/1/2019 22:00,3154.5,1.5,3153,3154.75,3153,1073,5669
12/1/2019 21:00,3153,0.5,3152.75,3154.25,3152.25,1640,7790
12/1/2019 20:00,3152.5,-0.25,3152.75,3153,3151.25,2278,8801
12/1/2019 19:00,3152.75,5.25,3147.5,3153.75,3147.25,5280,26574
12/1/2019 18:00,3147.5,3.75,3146.25,3148,3144.25,3445,14950
11/29/2019 13:00,3143.75,1.5,3142.5,3145,3142.5,5736,49569
11/29/2019 12:00,3142.25,-4.25,3146.25,3147.25,3139.5,22441,210040
11/29/2019 11:00,3146.5,-1,3147.5,3147.75,3143.25,14192,97769
11/29/2019 10:00,3147.5,-0.75,3148.5,3150.25,3146.75,13839,100659
11/29/2019 9:00,3148.25,0.75,3147.5,3150,3144.75,16147,111858
11/29/2019 8:00,3147.5,-1,3148.75,3149.5,3147.5,2589,13474
11/29/2019 7:00,3148.5,1.25,3147.25,3149,3147,2728,12449
11/29/2019 6:00,3147.25,0.75,3146.5,3148,3145.75,2518,8151
11/29/2019 5:00,3146.5,-0.5,3147.25,3147.75,3145.75,1840,8222
11/29/2019 4:00,3147,1,3146,3148.5,3145.75,3330,15364
11/29/2019 3:00,3146,1.75,3144.25,3146,3141.75,4596,22044
11/29/2019 2:00,3144.25,0,3144.25,3144.75,3143,2032,8484
11/29/2019 1:00,3144.25,0.75,3143.5,3144.75,3142,1607,6650
11/29/2019 0:00,3143.5,-1.75,3145,3145.5,3142.5,2024,7571
11/28/2019 23:00,3145.25,-0.5,3145.75,3145.75,3144.5,908,3128
11/28/2019 22:00,3145.75,-1.5,3147,3147.25,3144.25,1750,6938
11/28/2019 21:00,3147.25,1,3146.25,3148,3145.75,1714,6597
11/28/2019 20:00,3146.25,-2.75,3149,3149.25,3145.75,3054,11539
